id,market,name,mascot,mascot_name,mascot_common_name,tax_subspecies,tax_species,tax_genus,tax_family,tax_order,tax_class,tax_phylum,tax_kingdom,tax_domain,non_tax_type
2959bd24-7007-41ae-a3a3-abdf26888cfc,Tulsa,Golden Hurricane,Hurricane,Captain Cane,Hurricane,,,,,,,,,,Weather
ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Arizona State,Sun Devils,Devil,Sparky,Devil,,,,,,,,,,Devils
f2d01b77-0f5d-4574-9e49-2a3eaf822e44,Drexel,Dragons,Dragon,Mario the Magnificent,Dragon,,,,,,,,,,Dragons
b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,Bradley,Braves,Gargoyle,Kaboom!,Gargoyle,,,,,,,,,,
0113eea0-c943-4fff-9780-ae0fb099e7ef,Canisius,Golden Griffins,Griffin,Petey,Griffin,,,,,,,,,,Griffins
bdc2561d-f603-4fab-a262-f1d2af462277,Michigan,Wolverines,None,,Wolverine,,,,,,,,,,
dfe0d93f-94a5-47fb-b7aa-f74786e09acb,Illinois-Chicago,Flames,Dragon,Sparky,Dragon,,,,,,,,,,Dragons
61a3e5ab-1be3-4694-b83f-edae0953f409,Green Bay,Phoenix,Phoenix,Phlash,Phoenix,,,,,,,,,,
5873529e-e5e3-4a06-8a03-fa4cbe509880,Mississippi Valley State,Delta Devils,Devil,,Devil,,,,,,,,,,Devils
8accb91e-6086-41b3-a420-7a82fa442365,Elon,Phoenix,Phoenix,Elon,Phoenix,,,,,,,,,,Mythical Creatures
4fbebf0a-e117-4a0c-8f15-c247535a2a1b,Wake Forest,Demon Deacons,Demon,Demon Deacon,Demon,,,,,,,,,,Devils
71874e7e-8260-43f9-bb7c-65f267dbe8ce,Northwestern State,Demons,Demon,Vic,Demon,,,,,,,,,,Devils
fe21a988-3e96-4f3c-8f9f-b449ccda43b0,Texas A&M-CC,Islanders,Tiki Totem,Izzy,Totem,,,,,,,,,,
17479d6f-c8f1-458b-9412-8c76279a2bb4,Pepperdine,Waves,Wave,Willie,Wave,,,,,,,,,,
150148c2-ca8f-414f-8f41-d94a55d4a122,Illinois,Fighting Illini,None,,Human,,,,,,,,,,
1e42cce3-236b-4f3e-9650-2c45e6332e1e,Saint Louis,Billikens,Billiken,,Billiken,,,,,,,,,,Mythical Creatures
881380da-861c-4ab6-a7d2-20699d8ea883,Western Kentucky,Hilltoppers,Furry Blob,Big Red,Hilltoper,,,,,,,,,,
ef184799-d79b-49d9-a662-991eaf4044cd,Texas A&M,Aggies,Dustdevil,Dusty,Dustdevil,,,,,,,,,,Weather
1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,Detroit,Titans,Titan,Tommy,Titan,,,,,,,,,,Mythical Creatures
7a270923-01d6-4a6f-a93e-e8786266d502,Manhattan,Jaspers,None,,Jasper,,,,,,,,,,
fae4855b-1b64-4b40-a632-9ed345e1e952,Kansas,Jayhawks,Jayhawk,Big Jay / Baby Jay,Jayhawk,,,,,,Aves,Chordata,Animalia,Eukaryota,
472c22e0-843d-472c-a871-f1593fb0725d,Central Michigan,Chippewas,None,,Human,,,,,,,,,,
63a8fdcf-b51b-4de3-8a57-2a6e41d362ce,UAB,Blazers,Dragon,Blaze,Dragon,,,,,,,,,,Dragons
ad24b724-a11c-4dcd-a68c-67c53833ccb7,William & Mary,Tribe,Griffin,Colonel Ebirt,Griffin,,,,,,,,,,Griffins
3d2f0819-8f3b-4ff3-afd6-6227c469a751,Middle Tennessee,Blue Raiders,Winged Blue Horse,Lightning,Pegasus,,,,,,,,,,
ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,DePaul,Blue Demons,Demon,,Blue Demon,,,,,,,,,,Devils
a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,Central Connecticut State,Blue Devils,Devil,Kizer,Blue Devil,,,,,,,,,,Devils
faeb1160-5d15-4f26-99fc-c441cf21fc7f,Duke,Blue Devils,Devil,,Blue Devil,,,,,,,,,,Devils
f7fcbb6e-4a55-41ea-ba21-f763ed914467,TCU,Horned Frogs,Horned Frogs,,Horned Frog,,ornata,Ceratophrys,Ceratophryidae,Anura,Amphibia,Chordata,Animalia,Eukaryota,
39d00ef7-320d-47cf-a2fa-859bc24d16b4,UC Irvine,Anteaters,Anteater,Peter,Anteater,,tridactyla,Myrmecophaga,Myrmecophagidae,Pilosa,Mammalia,Chordata,Animalia,Eukaryota,
9b66e1e0-aace-4671-9be2-54c8acf5ecfc,Richmond,Spiders,Spider,WebstUR,Spider,,,,,Araneae,Arachnida,Arthropoda,Animalia,Eukaryota,
683ab61f-546f-44da-b085-c3a5740554aa,Stanford,Cardinal,California Redwood,Stanford Tree,California Redwood,,sempervirens,Sequoia,Cupressaceae,Pinales,Pinopsida,Pinophyta,Plantae,Eukaryota,
68a3227f-677f-43b0-9a3a-cad79d0df9e2,UNLV,Rebels,Rebel,Hey Reb!,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
2e78bd1b-9422-491e-9c73-37cf83b0e34e,USC Upstate,Spartans,Spartan,Sparty,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
a0fdb660-a822-4337-b01d-31c4d2c99c8a,Austin Peay,Governors,Governor,Governors,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Politicians
6637ac5f-59c2-4888-af34-a86d138ccfb3,St. Francis (PA),Red Flash,Friar,Frankie the Friar,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Clergy
500d7223-ecff-494b-9539-28427156c783,N.J.I.T.,Highlanders,Scotsman,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
6f676cba-c1f9-45a4-9016-fb408fd525b1,Denver,Pioneers,Pioneers,Denver Boone,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
ad9a3e21-4585-4e35-8946-290fe4a16f18,La Salle,Explorers,Explorers,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
fea46ac5-6dad-43cd-a770-75554dbcc118,Duquesne,Dukes,Duke,The Duke,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Aristocrats
f8b1bf00-5b73-4ac4-98c0-ec554027ae32,Nebraska,Cornhuskers,Cornhuskers,Lil Red and Herbie Husker,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,Radford,Highlanders,Human,Rowdy Red,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
3a000455-de7c-4ca8-880e-abdce7f21da9,USC,Trojans,Trojans,Traveler,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
79965018-7f6f-4273-9eef-65c99b592b01,Portland State,Vikings,Viking,Victor E. Viking,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
b18f34af-a7f1-4659-a2e5-fc11a31cd316,Saint Mary's,Gaels,Gael,George Emmons,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
72971b77-1d35-40b3-bb63-4c5b29f3d22b,Vanderbilt,Commodores,Commodores,Mr. Commodore,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
87d88c93-29bc-4306-b0a6-87c6f6e80da1,Appalachian State,Mountaineers,Mountaineer,Yosef,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
f8c705b7-87d3-411a-9c8b-5124daab0469,Texas Tech,Red Raiders,Raider and horse,Raider Red and The Masked Rider,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
ec6185b7-4e0c-4eb8-99ef-f3a4dccf6b91,Idaho,Vandals,Vandal,Joe,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
12d7f888-675b-459f-9099-a38f771d8a95,Purdue,Boilermakers,Human,Boilermaker Special,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Cratsmen
a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Michigan State,Spartans,Spartan,Sparty,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
6373b18c-62f6-49bc-bd4c-8959a2466516,Troy,Trojans,Trojans,T-Roy,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
3b6293f3-03db-46d2-8793-248963c2d83b,UC Santa Barbara,Gauchos,Gaucho,Olé,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
ab9a1315-293f-42d3-a164-860216e81576,Northern Kentucky,Norse,Viking,Viktor E. Viking,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
11a617d5-af03-4cce-bc8a-51114d9e41fe,Long Beach State,49ers,49er,Prospector Pete,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,49ers
6906e22d-92fa-40cb-8c05-ec8391ac1979,Robert Morris,Colonials,Colonial,RoMo,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Colonials
a8f75c12-c4db-401f-99e3-b48209d85274,Norfolk State,Spartans,Spartan,No name,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
5fe4a398-1699-4442-a364-305b2f0ac01e,Mount St. Mary's,Mountaineers,Mountaineer,Emmit,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
e6c94452-1adf-4fb9-90e5-10f165c57c5a,Pennsylvania,Quakers,Quaker,The Penn Quaker,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
a7127c0a-a466-47ae-91ad-9a71ee2c9427,Wyoming,Cowboys,Cowboy,Cowboy Joe,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Cowboys
e7ff6d5c-07e9-42af-955d-0a0b8c1e2288,New Orleans,Privateers,Pirate,Captain Bruno,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
d2ef641c-70e4-48bb-b40d-ac654d179205,McNeese State,Cowboys,Cowboys,Rowdy,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Cowboys
7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Providence,Friars,Friar,Friar Dom,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Clergy
3556d445-b3f1-467e-b150-952b32dfb150,Sacred Heart,Pioneers,Pioneers,Big Red,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
31aedd91-a77e-46c1-8bdc-80e9860c159d,Holy Cross,Crusaders,Crusader,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Crusaders
b2fda957-e15c-4fb2-8a13-6e58496f561e,Oklahoma,Sooners,Human,Boomer & Sooner,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
29de4e5e-ee5b-48c8-bffc-1972e7da1e30,San Jose State,Spartans,Spartan,Sammy,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
620d5944-7156-47d3-aad5-5b3824557d03,San Diego,Toreros,Torero,Diego Torrero,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,New Mexico State,Aggies,Cowboy,Pistol Pete,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Cowboys
394d1b2b-7a19-4d43-b04a-5f366c24e5bf,Stetson,Hatters,Human,John B,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
8ddbfca9-a931-4908-aa31-9fcd17624b5f,Charlotte,49ers,49er,Norm,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,49ers
1753768d-e46e-40b1-8d69-a8ae5cccec03,Northern Arizona,Lumberjacks,Lumberjack,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
a601205f-3bfe-4052-ac0b-b8f18cf3efd3,East Carolina,Pirates,Pirates,PeeDee,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
c0d19efd-d40c-4e32-8e90-dbcb28178b5d,Nicholls State,Colonels,Colonel,Colonel Tillou,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
cb732075-23a5-4e71-9037-50a7a002bdb2,Cal State Northridge,Matadors,Matadors,Matty,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
d3c8a767-b6fc-45d4-a5f2-18406f2993f1,Florida State,Seminoles,Human and horse,Osceola (historical Seminole leader) and Renegade (Osceola's horse),Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
e30c0417-b220-424e-886e-dd1249e2ca5a,Cleveland State,Vikings,Viking,Magnus,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
5ef64f01-86ae-4553-9834-c79cc0859eaf,Stephen F. Austin,Lumberjacks,Lumberjack,LadyJack and Lumberjack,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
aef5e386-d8e8-460c-8014-3a2f090fd988,Seton Hall,Pirates,Pirates,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
d24efd99-8717-43b9-a086-9986a684ac04,San Francisco,Dons,Don,Don Francisco,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Aristocrats
224e3b21-30e7-4a05-9e8c-62721d581db8,Portland,Pilots,Pilots,Wally,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Pitlots
0d8a328f-20ce-410b-bed1-15fc01308aaf,Xavier,Musketeers,Musketeer,D'artagnon,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Harvard,Crimson,Pilgrim,John Harvard,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Pilgrims
f770d3a2-221c-49ce-9c7a-680f7417fe9e,West Virginia,Mountaineers,Mountaineer,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
161354af-1f3e-4d58-88f7-e016ec74b7b6,Hampton,Pirates,Pirates,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
612f7f66-1de1-4d42-b842-9a508daab911,UNC Greensboro,Spartans,Spartan,No Name,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
d4dc55b3-94fe-4d4f-b0bf-c50c5f064392,Hawaii,Warriors,Warrior,Vili,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,East Tennessee State,Buccaneers,Pirate,Bucky,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
d52c3640-069c-4554-982e-e6537c8044f1,George Washington,Colonials,Colonial,George,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Colonials
255c2a87-40c0-4989-bbb9-d286aac5d28e,Iona,Gaels,Gael,Killian,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
e76479d0-a768-46d2-89bf-7b9dae12bec8,George Mason,Patriots,Patriot,Gunston,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
e6914f16-ca37-4d2e-ba26-a425910283e2,San Diego State,Aztecs,Aztec Warrior,Montezuma the Aztec Warrior,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
d60357bd-1205-42e9-9092-d986a2843a34,Dartmouth,Big Green,Corsair,Arnie,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Seafarers
56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Virginia,Cavaliers,Cavalier,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Aristocrats
34dd83ac-64f2-4b73-8577-899b2a46f5cc,Toledo,Rockets,Astronaut,Rocky/ Rocksy,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Explorers
b03bb029-4499-4a2c-9074-5071ed360b21,Rutgers,Scarlet Knights,Knight,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
80a19b57-d6ab-4bee-934f-33a72c2e958a,Colgate,Raiders,Raiders,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
80962f09-8821-48b6-8cf0-0cf0eea56aa8,Notre Dame,Fighting Irish,Leprechaun,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
b06b63b0-20e6-4c78-bdcf-5feac3d7995e,Presbyterian,Blue Hose,Scotsman,Scottie,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
88104678-e53b-43b3-82f7-efb3a11cedb9,Massachusetts,Minutemen,Minuteman,Sam,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
e48e3dd5-721c-4d96-8ff4-790fe2597bfd,Eastern Kentucky,Colonels,Colonel,Colonel,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Warriors
ca5318f2-48eb-4f6b-896a-966b900aa42f,Furman,Paladins,Knight,Paladin,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
df3da9d7-2d2b-44e2-99e2-08c4945a203b,Valparaiso,Crusaders,Crusader,,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,Crusaders
632616c5-2dbb-4017-a449-c9dfc303f026,Dayton,Flyers,Pilot,Rudy Flyer,Human,,sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Animalia,Eukaryota,
