year,round,region_number,region_name,seed,team,score,seed_2,team_2,score_2
1985,1,1,West,1,St Johns,83,16,Southern,59
1985,1,1,West,2,VCU,81,15,Marshall,65
1985,1,2,East,3,Illinois,76,14,Northeastern,57
1985,1,2,East,4,Loyola Illinois,59,13,Iona,58
1985,1,2,East,5,SMU,85,12,Old Dominion,68
1985,1,2,East,6,Georgia,67,11,Wichita St,59
1985,1,2,East,7,Syracuse,70,10,DePaul,65
1985,1,2,East,8,Temple,60,9,Virginia Tech,57
1985,1,3,Midwest,1,Oklahoma,96,16,North Carolina A&T,83
1985,1,3,Midwest,2,Memphis,67,15,Pennsylvania,55
1985,1,3,Midwest,3,Duke,75,14,Pepperdine,62
1985,1,3,Midwest,4,Ohio St,75,13,Iowa St,64
1985,1,1,West,3,NC State,65,14,Nevada,56
1985,1,3,Midwest,5,Louisiana Tech,78,12,Pittsburgh,54
1985,1,3,Midwest,6,Texas Tech,53,11,Boston College,55
1985,1,3,Midwest,7,UAB,70,10,Michigan St,68
1985,1,3,Midwest,8,USC,55,9,Illinois St,58
1985,1,4,Southeast,1,Michigan,59,16,Fairleigh Dickinson,55
1985,1,4,Southeast,2,North Carolina,76,15,Middle Tennessee St,57
1985,1,4,Southeast,3,Kansas,49,14,Ohio,38
1985,1,4,Southeast,4,LSU,55,13,Navy,78
1985,1,4,Southeast,5,Maryland,69,12,Miami Ohio,68
1985,1,4,Southeast,6,Purdue,58,11,Auburn,59
1985,1,1,West,4,UNLV,85,13,San Diego St,80
1985,1,4,Southeast,7,Notre Dame,79,10,Oregon St,70
1985,1,4,Southeast,8,Villanova,51,9,Dayton,49
1985,2,1,West,1,St Johns,68,9,Arkansas,65
1985,2,1,West,2,VCU,59,7,Alabama,63
1985,2,1,West,3,NC State,86,11,UTEP,73
1985,2,1,West,4,UNLV,61,12,Kentucky,64
1985,2,2,East,1,Georgetown,63,8,Temple,46
1985,2,2,East,2,Georgia Tech,70,7,Syracuse,53
1985,2,2,East,3,Illinois,74,6,Georgia,58
1985,2,2,East,4,Loyola Illinois,70,5,SMU,57
1985,1,1,West,5,Washington,58,12,Kentucky,65
1985,2,3,Midwest,1,Oklahoma,75,9,Illinois St,69
1985,2,3,Midwest,2,Memphis,67,7,UAB,66
1985,2,3,Midwest,3,Duke,73,11,Boston College,74
1985,2,3,Midwest,4,Ohio St,67,5,Louisiana Tech,79
1985,2,4,Southeast,1,Michigan,55,8,Villanova,59
1985,2,4,Southeast,2,North Carolina,60,7,Notre Dame,58
1985,2,4,Southeast,3,Kansas,64,11,Auburn,66
1985,2,4,Southeast,13,Navy,59,5,Maryland,64
1985,3,1,West,1,St Johns,86,12,Kentucky,70
1985,3,1,West,7,Alabama,55,3,NC State,61
1985,1,1,West,6,Tulsa,75,11,UTEP,79
1985,3,2,East,1,Georgetown,65,4,Loyola Illinois,53
1985,3,2,East,2,Georgia Tech,61,3,Illinois,53
